client,purchase_date,product,price
Jeremy Arellano,2022-08-02,Phone,532
Dawn Mayo,2022-08-02,Phone,1147
Katie Nguyen,2022-08-02,Phone,210
Heather Osborn,2022-08-02,Phone,1255
David Williams,2022-08-02,Laptop,3125
Richard Kirby,2022-08-02,Laptop,582
Amanda Hebert,2022-08-02,Laptop,1631
Mark Miranda,2022-08-02,Laptop,2266
Pamela Mcclure,2022-08-02,Laptop,511
Kyle Russell,2022-08-02,Laptop,1919
Shane Lewis,2022-08-02,Laptop,1572
Mario Moore,2022-08-02,Laptop,948
Margaret Jackson,2022-08-02,Laptop,1660
Ryan Brown,2022-08-02,Laptop,2764
David Hahn,2022-08-02,Laptop,618
Morgan Stewart,2022-08-02,Laptop,3104
David Brown,2022-08-02,Laptop,1446
Krista Fowler,2022-08-02,Laptop,2916
Rhonda Burns,2022-08-02,Laptop,3230
Meghan Pineda,2022-08-02,Laptop,2852
Shannon Smith,2022-08-02,Laptop,2523
Victor Mckee,2022-08-02,Laptop,3111
Tommy Livingston,2022-08-02,Laptop,3275
Sarah Cohen,2022-08-02,Laptop,1739
Jade King,2022-08-02,Laptop,2182
Donald Conner,2022-08-02,Laptop,2453
Dalton Grant,2022-08-02,Laptop,743
Shannon Glover,2022-08-02,Laptop,2367
Dwayne Moore,2022-08-02,Laptop,3178
Paul Barton,2022-08-02,Laptop,2079
Anna Atkinson,2022-08-02,Laptop,1341
Vanessa Smith,2022-08-02,Laptop,2523
John Estrada,2022-08-02,Laptop,1787
Hannah Rogers,2022-08-02,Laptop,821
Dorothy Gardner,2022-08-02,Laptop,3357
Joel Bradley,2022-08-02,Laptop,2610
Gary Morales,2022-08-02,Laptop,527
Norman Gonzalez,2022-08-02,Laptop,3464
Vickie Johnson,2022-08-02,Laptop,3357
Elizabeth Montoya,2022-08-02,Laptop,1660
Connie Fisher,2022-08-02,Laptop,1847
Steven Cardenas,2022-08-02,Laptop,2914
Jenny Hanna,2022-08-02,Laptop,2074
Kenneth Lewis,2022-08-02,Laptop,3124
Charles Turner,2022-08-02,Laptop,1619
John Gonzales,2022-08-02,Laptop,1264
Matthew Miller,2022-08-02,Laptop,3036
Alicia Peterson,2022-08-02,Laptop,1099
Jenny Villegas,2022-08-02,Laptop,3489
