client,purchase_date,product,price
Chad Bailey,2022-08-01,Laptop,1362
Linda Gardner,2022-08-01,Laptop,3249
Amanda Wright,2022-08-01,Laptop,2509
Christine Anderson,2022-08-01,Laptop,2949
Kelly Pugh,2022-08-01,Laptop,2351
Jodi Robles,2022-08-01,Laptop,1279
Mary Robinson,2022-08-01,Laptop,1720
Jeremiah Miller,2022-08-01,Laptop,1341
Rodney Jordan,2022-08-01,Laptop,2216
Misty Allen,2022-08-01,Laptop,2320
Stephanie Sutton,2022-08-01,Microwave oven,568
Matthew Bell,2022-08-01,Microwave oven,453
Mitchell Smith,2022-08-01,Microwave oven,249
Thomas Rivers,2022-08-01,Microwave oven,336
Jeremy Wood,2022-08-01,Microwave oven,210
Lynn Burton,2022-08-01,Microwave oven,268
Jordan Roman,2022-08-01,Microwave oven,494
Lisa Lowe,2022-08-01,Microwave oven,382
Lawrence Hebert,2022-08-01,Microwave oven,220
Gregory Waters,2022-08-01,Microwave oven,121
Lori Smith,2022-08-01,Microwave oven,291
Craig Brooks,2022-08-01,Microwave oven,486
Mario Moore,2022-08-01,Microwave oven,535
James Davis,2022-08-01,Microwave oven,565
Timothy Ward,2022-08-01,Microwave oven,491
Robin Davis,2022-08-01,Microwave oven,570
Kathryn Henderson,2022-08-01,Microwave oven,261
Carrie Mitchell,2022-08-01,Microwave oven,453
Dennis Lopez,2022-08-01,Microwave oven,436
James Hernandez,2022-08-01,Microwave oven,400
Anthony Russell,2022-08-01,Microwave oven,352
Regina Rivera,2022-08-01,Microwave oven,401
Jeffrey Vazquez,2022-08-01,Microwave oven,534
Jeffrey Miles,2022-08-01,Microwave oven,337
Gabriela Jones,2022-08-01,Microwave oven,582
Caitlin Mejia,2022-08-01,Microwave oven,248
Tom Gonzalez,2022-08-01,Microwave oven,422
Amy Fletcher,2022-08-01,Microwave oven,266
Christopher Medina,2022-08-01,Microwave oven,462
Brian Mccarthy,2022-08-01,Microwave oven,348
Gary Coleman,2022-08-01,Microwave oven,107
Nancy Cardenas,2022-08-01,Microwave oven,343
Kenneth Peterson,2022-08-01,Microwave oven,119
Victor Hill,2022-08-01,Microwave oven,168
Michael Richard,2022-08-01,Microwave oven,277
Rachel Jones,2022-08-01,Microwave oven,524
Megan Parsons,2022-08-01,Microwave oven,588
Zachary Mata,2022-08-01,Microwave oven,122
Trevor Young,2022-08-01,Microwave oven,325
Crystal Williams,2022-08-01,Microwave oven,366
Megan Goodwin,2022-08-01,Microwave oven,475
Kristin Fuller,2022-08-01,Microwave oven,427
Heather Cooper,2022-08-01,Microwave oven,499
Douglas Boyd,2022-08-01,Microwave oven,570
Marc Torres,2022-08-01,Microwave oven,445
Kristen Patrick,2022-08-01,Microwave oven,267
Mckenzie Brock,2022-08-01,Microwave oven,366
Lawrence Arias,2022-08-01,Microwave oven,230
Samantha Torres,2022-08-01,Microwave oven,572
Gwendolyn Brown,2022-08-01,Microwave oven,410
Shelly Thomas,2022-08-01,Microwave oven,151
Debbie Lara,2022-08-01,Microwave oven,594
Jorge Leon,2022-08-01,Microwave oven,118
Eric Lee,2022-08-01,Microwave oven,103
John Wagner,2022-08-01,Microwave oven,450
Debbie Lynch,2022-08-01,Microwave oven,183
Brian Francis,2022-08-01,Microwave oven,203
Veronica Mcclain,2022-08-01,Microwave oven,170
Seth Scott,2022-08-01,Microwave oven,239
Kimberly Thompson,2022-08-01,Microwave oven,530
Tracy Taylor,2022-08-01,Microwave oven,476
Amanda Peterson,2022-08-01,Microwave oven,575
Crystal Hudson,2022-08-01,Microwave oven,320
Stephanie Moses,2022-08-01,Microwave oven,254
Phillip Thomas,2022-08-01,Microwave oven,352
Thomas Delgado,2022-08-01,Microwave oven,445
Mary Mccarthy,2022-08-01,Microwave oven,358
Eric Flores,2022-08-01,Microwave oven,139
Benjamin Rogers,2022-08-01,Microwave oven,207
Timothy Glass,2022-08-01,Microwave oven,490
Kathy Robertson,2022-08-01,Microwave oven,275
Claire Taylor,2022-08-01,Microwave oven,244
Nicole Howell,2022-08-01,Microwave oven,364
George Suarez,2022-08-01,Microwave oven,429
William Blake,2022-08-01,Microwave oven,130
Jeremy Jacobs,2022-08-01,Vacuum cleaner,255
Robert Tran,2022-08-01,Vacuum cleaner,482
Angela Hubbard,2022-08-01,Vacuum cleaner,132
Travis Thompson,2022-08-01,Vacuum cleaner,265
Daniel Williams,2022-08-01,Vacuum cleaner,509
Barry Alexander,2022-08-01,Vacuum cleaner,456
Hector Moore,2022-08-01,Vacuum cleaner,595
Melissa Keller,2022-08-01,Vacuum cleaner,212
Lisa Meadows,2022-08-01,Vacuum cleaner,239
Amanda Morris,2022-08-01,Vacuum cleaner,167
David Brooks,2022-08-01,Vacuum cleaner,257
Natasha Mcclain,2022-08-01,Vacuum cleaner,280
Samantha Sullivan,2022-08-01,Vacuum cleaner,291
Tanner Phillips,2022-08-01,Vacuum cleaner,503
Christopher Crosby,2022-08-01,Vacuum cleaner,753
Clayton Garcia,2022-08-01,Vacuum cleaner,403
Austin Williams,2022-08-01,Vacuum cleaner,148
Cheryl Sullivan,2022-08-01,Vacuum cleaner,587
Ross Donovan,2022-08-01,Vacuum cleaner,386
Kelsey Hull,2022-08-01,Vacuum cleaner,725
Rhonda Johnson,2022-08-01,Vacuum cleaner,100
Lauren Carpenter,2022-08-01,Vacuum cleaner,319
David Ward,2022-08-01,Vacuum cleaner,655
Carrie Perez,2022-08-01,Vacuum cleaner,413
Alicia Walker,2022-08-01,Vacuum cleaner,273
Carl Keller,2022-08-01,Vacuum cleaner,577
Elizabeth Williams,2022-08-01,Vacuum cleaner,198
Sara Bryant,2022-08-01,Vacuum cleaner,606
Stephen Evans,2022-08-01,Vacuum cleaner,461
Amber Fitzgerald,2022-08-01,Vacuum cleaner,450
Rachel Hull,2022-08-01,Vacuum cleaner,775
Alicia Graves,2022-08-01,Vacuum cleaner,672
Walter Mccormick,2022-08-01,Vacuum cleaner,252
Ebony Sanchez,2022-08-01,Vacuum cleaner,457
Jessica Brown,2022-08-01,Vacuum cleaner,224
Kathleen Smith,2022-08-01,Vacuum cleaner,403
Angela Schmitt,2022-08-01,Vacuum cleaner,641
Michael Park,2022-08-01,Vacuum cleaner,779
Latoya Harris,2022-08-01,Vacuum cleaner,716
Matthew Ellis,2022-08-01,Vacuum cleaner,239
Michael Melton,2022-08-01,Vacuum cleaner,374
Teresa Robertson,2022-08-01,Vacuum cleaner,430
Alicia Washington,2022-08-01,Vacuum cleaner,643
Curtis Sanchez,2022-08-01,Vacuum cleaner,404
James Hodge,2022-08-01,Vacuum cleaner,686
Dana Barnes,2022-08-01,Vacuum cleaner,285
Jacqueline Hamilton,2022-08-01,Vacuum cleaner,362
Christopher Watts,2022-08-01,Vacuum cleaner,287
Betty Floyd,2022-08-01,Vacuum cleaner,712
Michael Nelson,2022-08-01,Vacuum cleaner,516
Lynn Harmon,2022-08-01,Vacuum cleaner,455
Franklin Villa,2022-08-01,Vacuum cleaner,259
Rachel Morris,2022-08-01,Vacuum cleaner,364
Cindy Joseph,2022-08-01,Vacuum cleaner,402
Robert Brooks,2022-08-01,Vacuum cleaner,585
Ashley Wilson,2022-08-01,Vacuum cleaner,92
Brian Hunter,2022-08-01,Vacuum cleaner,389
Nicholas Weber,2022-08-01,Vacuum cleaner,463
Todd Combs,2022-08-01,Vacuum cleaner,426
Rachel Burke,2022-08-01,Vacuum cleaner,467
Alyssa Hartman,2022-08-01,Vacuum cleaner,679
Richard Garrison,2022-08-01,Vacuum cleaner,181
Sean Coffey,2022-08-01,Vacuum cleaner,471
Angela Flores,2022-08-01,Vacuum cleaner,754
William Wheeler,2022-08-01,Vacuum cleaner,328
Jennifer Fleming,2022-08-01,Vacuum cleaner,718
Michael Peterson,2022-08-01,Vacuum cleaner,621
Matthew Leonard,2022-08-01,Vacuum cleaner,713
Adam Estrada,2022-08-01,Vacuum cleaner,308
Anita Roth,2022-08-01,Vacuum cleaner,502
Melvin Moses,2022-08-01,Vacuum cleaner,354
Alexander Roy,2022-08-01,Vacuum cleaner,482
Jessica Foster,2022-08-01,Vacuum cleaner,269
Autumn Brown,2022-08-01,Vacuum cleaner,445
Autumn Brown,2022-08-01,Vacuum cleaner,566
Andrew Larson,2022-08-01,Vacuum cleaner,392
Michael Parrish,2022-08-01,Vacuum cleaner,693
Morgan Gonzalez,2022-08-01,Vacuum cleaner,222
Jon Butler,2022-08-01,Vacuum cleaner,442
Michaela Chapman,2022-08-01,Vacuum cleaner,723
Richard Strong,2022-08-01,Vacuum cleaner,166
Jordan Mays,2022-08-01,Vacuum cleaner,773
Lauren Black,2022-08-01,Vacuum cleaner,244
Caroline Chambers,2022-08-01,coffee machine,761
Jennifer Morales,2022-08-01,coffee machine,766
Gary Hatfield,2022-08-01,coffee machine,4171
Victoria Hubbard,2022-08-01,coffee machine,3314
Melissa Phelps,2022-08-01,coffee machine,4777
Joseph Krause,2022-08-01,coffee machine,3512
Stephanie Conner,2022-08-01,coffee machine,1206
Renee Hernandez,2022-08-01,coffee machine,1987
Tonya Bryant,2022-08-01,coffee machine,484
Shane Hanson,2022-08-01,coffee machine,3883
Stephen Craig,2022-08-01,coffee machine,1447
Timothy Davis,2022-08-01,coffee machine,3195
April Hooper,2022-08-01,coffee machine,3360
William Castillo,2022-08-01,coffee machine,1878
Tonya Ellison,2022-08-01,coffee machine,4456
Amanda Johnson,2022-08-01,coffee machine,233
Brittany Melton,2022-08-01,coffee machine,1500
Tyler Gilbert,2022-08-01,coffee machine,3936
Pamela Phillips,2022-08-01,coffee machine,2289
Kathy Miller,2022-08-01,coffee machine,1826
Melinda Waller,2022-08-01,coffee machine,4177
Christopher Rogers,2022-08-01,coffee machine,4114
Jennifer Moreno,2022-08-01,coffee machine,4410
Jonathan Hampton,2022-08-01,coffee machine,656
Pamela Nelson,2022-08-01,coffee machine,2469
Michael Fischer,2022-08-01,coffee machine,1476
Douglas Luna,2022-08-01,coffee machine,4426
Theodore Holt,2022-08-01,coffee machine,3006
Alexander Evans,2022-08-01,coffee machine,4004
Chad Miller,2022-08-01,coffee machine,4983
Jenna Fox,2022-08-01,coffee machine,441
Heather Moore,2022-08-01,coffee machine,151
Kevin Mullen,2022-08-01,coffee machine,226
Lisa Edwards,2022-08-01,coffee machine,1747
Alison Walker,2022-08-01,coffee machine,3795
Nicole Romero,2022-08-01,coffee machine,3406
Frank Martinez,2022-08-01,coffee machine,1604
Erin Oneal,2022-08-01,coffee machine,2175
Adrian Pineda,2022-08-01,coffee machine,3934
Ronald Powell,2022-08-01,coffee machine,347
Daniel Carter,2022-08-01,coffee machine,1419
Misty Moore,2022-08-01,coffee machine,3042
Jasmine Robinson,2022-08-01,coffee machine,2587
Jessica Cobb,2022-08-01,coffee machine,514
Kurt Ruiz,2022-08-01,coffee machine,1402
Beverly Goodwin,2022-08-01,coffee machine,2870
Stephen Smith,2022-08-01,coffee machine,3108
Julia Johnson,2022-08-01,coffee machine,4018
Jacob Morales,2022-08-01,coffee machine,1709
Ashley Riley,2022-08-01,coffee machine,326
Kimberly King,2022-08-01,coffee machine,3049
Jennifer Alvarez,2022-08-01,coffee machine,4315
Cynthia Grant,2022-08-01,coffee machine,3929
Robert Hernandez,2022-08-01,coffee machine,3359
Jared Murphy,2022-08-01,coffee machine,844
Stephen Allen,2022-08-01,coffee machine,2385
Samantha Ramirez,2022-08-01,coffee machine,3093
Kimberly Guerra,2022-08-01,coffee machine,1640
Jessica Mayer,2022-08-01,coffee machine,3677
Jamie Hubbard,2022-08-01,coffee machine,3545
Heather Bauer,2022-08-01,coffee machine,3737
Kimberly Turner,2022-08-01,coffee machine,808
Amber Sellers,2022-08-01,coffee machine,2741
Rick Miller,2022-08-01,coffee machine,1036
Shannon Boyer,2022-08-01,coffee machine,4156
Juan Meyer,2022-08-01,coffee machine,2111
Daniel Lambert,2022-08-01,coffee machine,3961
Amanda Cruz,2022-08-01,coffee machine,123
Stephanie Brooks,2022-08-01,coffee machine,2211
Phillip Knapp,2022-08-01,coffee machine,4032
Kelly Norris,2022-08-01,coffee machine,199
Michael Dominguez,2022-08-01,coffee machine,1081
Cassandra Harris,2022-08-01,coffee machine,332
Audrey Hall,2022-08-01,coffee machine,4442
James Mcclure,2022-08-01,coffee machine,2039
James Benson,2022-08-01,coffee machine,4175
Tammy Freeman,2022-08-01,coffee machine,3313
Robin Ellis,2022-08-01,coffee machine,3635
Grace Krueger,2022-08-01,coffee machine,1266
Reginald Cox,2022-08-01,coffee machine,2391
Kylie Phillips,2022-08-01,coffee machine,1082
Shannon Valentine,2022-08-01,coffee machine,2368
Lisa Mckay,2022-08-01,coffee machine,283
Scott Duffy,2022-08-01,coffee machine,4478
Laurie Jackson,2022-08-01,coffee machine,1444
